trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.9, 'e': 1.3411437072363785}",25,0,-110.55438053322395,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.9, 'e': 1.3031421363190956}",25,0,-94.73055521135268,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.9, 'e': 1.2667331490447753}",25,0,-108.19203258009881,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
73,False,"{'a': 0.9, 'e': 1.2318289827186741}",20,0,-96.88736354693702,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.9, 'e': 1.1983478378359784}",25,0,-233.27266323894935,"{0: 8, 1: 6, 2: 7, 3: 1, 4: 3}",0
75,False,"{'a': 0.9, 'e': 1.1662133983924945}",20,6,-27.37937437701853,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.9, 'e': 1.135354396617328}",30,0,-135.74878291195216,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",1
77,False,"{'a': 0.9, 'e': 1.1057042174875997}",20,13,-31.277135566340636,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.9, 'e': 1.0772005389234325}",20,0,-94.69248072363992,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
79,False,"{'a': 0.9, 'e': 1.0497850040311774}",25,0,-73.84577900573385,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.9, 'e': 1.0234029221735368}",20,0,-81.77674392803802,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
81,False,"{'a': 0.9, 'e': 0.998002996004997}",20,0,-151.3488946439241,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
82,False,"{'a': 0.9, 'e': 0.9735370719266254}",20,0,-86.1102289072381,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
